"Carimbo de data/hora","Quais serviços você conhece? (selecione uma ou mais)","Quais serviços você ou sua família assinam? (selecione uma ou mais)","Quais serviços você mais gosta? (selecione uma ou mais)","Idade","Gênero","Ocupação","Quantas crianças (menor de 10 anos) moram com você?","Tipo de conteúdo preferido:","Durante a semana, quantas horas você assiste de streaming por dia?","De final de semana, quantas horas você assiste de streaming por dia?","Quais dispositivos você utiliza para assistir streaming? (selecione uma ou mais)","Qual preço você julga justo assinar?","Qual sua renda familiar mensal?","O que poderia melhorar nos serviços de streaming que você assina?"
"2022/05/03 10:55:53 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix","Netflix;Disney+;Globoplay","45","Feminino","Nenhuma das opções","0","Documentários","1","2","Smart TV;Celular","R$25,00 - R$35,00","Mais de R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/03 10:57:13 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Netflix;Prime Video","21","Masculino","Estudando","0","Séries","2","4","Smart TV;Celular;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Maior catálogo de filmes e séries"
"2022/05/03 10:57:22 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;HBO Max","19","Masculino","Estudando e Trabalhando","0","Séries","2","3","Google Chromecast ou similar;Celular;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 11:05:18 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max","Disney+;HBO Max","21","Feminino","Estudando","0","Documentários","3","5","Google Chromecast ou similar;Celular;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface"
"2022/05/03 11:05:41 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Telecine","Netflix;Prime Video;HBO Max","Netflix;HBO Max","47","Masculino","Trabalhando","0","Filmes","7","4","Smart TV;Celular","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Preço;Filmes adultos"
"2022/05/03 11:05:51 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Prime Video","20","Masculino","Estudando","0","Séries","1","3","Celular;Notebook ou PC","R$15,00 - R$25,00","","Preço;Maior catálogo de filmes e séries"
"2022/05/03 11:07:02 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max","Netflix","Netflix","20","Masculino","Estudando e Trabalhando","0","Séries","1","2","Notebook ou PC","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Maior catálogo de filmes e séries"
"2022/05/03 11:07:06 AM GMT-3","Netflix;Disney+","Netflix","Netflix;Disney+","20","Feminino","Estudando e Trabalhando","0","Séries","1","1","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular","R$25,00 - R$35,00","Mais de R$20.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/03 11:07:56 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;HBO Max","25","Masculino","Estudando","0","Séries","4","5","Smart TV;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Interface"
"2022/05/03 11:09:36 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video","Netflix;Disney+","18","Feminino","Estudando e Trabalhando","0","Séries","2","0","Smart TV;Celular","R$15,00 - R$25,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 11:12:28 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Prime Video","Netflix;Prime Video","20","Masculino","Estudando","0","Filmes","6","6","Smart TV;Google Chromecast ou similar;Celular;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Maior catálogo de filmes e séries;Conexão;Interface"
"2022/05/03 11:15:17 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Disney+;Prime Video;HBO Max;Globoplay","HBO Max","21","Masculino","Estudando","0","Séries","2","3","Smart TV;Google Chromecast ou similar;Tablet ou iPad;Celular;Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries;Mais produções nacionais;Conexão;Interface"
"2022/05/03 11:15:53 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix","Netflix","57","Masculino","Trabalhando","0","Filmes","3","6","Smart TV;Google Chromecast ou similar;Celular","R$25,00 - R$35,00","R$10.000,00 - R$20.000,00","Mais produções nacionais"
"2022/05/03 11:17:00 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video;HBO Max","HBO Max","20","Masculino","Estudando e Trabalhando","0","Séries","1","2","Google Chromecast ou similar;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 11:26:38 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max","Netflix;Prime Video","Disney+;Prime Video","20 anos","Feminino","Estudando e Trabalhando","0","Séries","1","2","Smart TV;Tablet ou iPad","R$5,00 - R$15,00","R$5.000,00 - R$10.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/03 11:26:57 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay;Amazon ","Netflix","Amazon","40","Feminino","Trabalhando","1-2","Documentários","1","1","Smart TV","R$5,00 - R$15,00","R$1.000,00 - R$5.000,00","Mais produções nacionais"
